,card1,card2,card3,card4,card5,card6,card7,card8,tag
83,Golem,Night Witch,Baby Dragon,Mega Minion,Lumberjack,Bomber,Lightning,Tornado,2UVV829PR
84,Rocket,The Log,Tornado,Executioner,Valkyrie,Hog Rider,Ice Spirit,Goblins,U200V9P
85,Princess,The Log,Knight,Inferno Tower,Goblin Barrel,Ice Spirit,Rocket,Goblin Gang,8GG0RRUJ
86,Three Musketeers,Elite Barbarians,Heal Spirit,Rage,Elixir Collector,Royal Ghost,Bandit,Zap,GG829JGY
87,Witch,Barbarians,Mini P.E.K.K.A,Baby Dragon,Rocket,Wizard,Hog Rider,Minion Horde,29YU089C
88,Giant Skeleton,Royal Giant,Electro Spirit,Bats,Hunter,Fisherman,Earthquake,Barbarian Barrel,2PYCGV2RR
89,Baby Dragon,Giant Skeleton,Balloon,Lightning,Fireball,Giant,Mini P.E.K.K.A,Bomb Tower,YCVYYPQC
90,Lava Hound,Balloon,Skeleton Dragons,Inferno Dragon,Barbarians,Zap,Arrows,Miner,PC9PYY0Q
91,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,2G9GLP
92,Magic Archer,Skeleton Army,Bats,Zap,Skeleton Barrel,P.E.K.K.A,Barbarian Barrel,Miner,YLLY9GVL9
93,Lava Hound,Mega Minion,Barbarians,Lightning,Minions,Arrows,Tombstone,Balloon,QQQPQJ0
94,Executioner,Electro Wizard,Goblin Barrel,Ice Golem,Tornado,Goblin Gang,Hog Rider,Bowler,Q8QQCUR9
95,Balloon,Lava Hound,Arrows,Minions,Barbarians,Inferno Dragon,Lightning,Tombstone,8PU8G0QG0
96,Skeletons,Ice Spirit,Archers,Tesla,The Log,Knight,Fireball,X-Bow,99VRJL2R
97,Inferno Tower,Archers,Bomber,Arrows,Tombstone,Giant,Minion Horde,Spear Goblins,GGJPL0
98,P.E.K.K.A,Executioner,Poison,Tornado,Hog Rider,Goblins,Zap,Ice Spirit,9PG88R2L
99,Minions,Zap,P.E.K.K.A,Wizard,Magic Archer,Mini P.E.K.K.A,Hog Rider,Fireball,JJQJU02
100,Poison,P.E.K.K.A,Furnace,Barbarian Barrel,Miner,Electro Wizard,Dark Prince,Musketeer,U200Q0VP
101,Baby Dragon,Hog Rider,Minions,Valkyrie,Inferno Dragon,Zap,Mini P.E.K.K.A,Giant Skeleton,YLGVVR8L
102,Royal Ghost,Valkyrie,Elite Barbarians,Rage,Miner,Goblin Barrel,Minion Horde,Baby Dragon,G9CL0JCC
103,Elixir Collector,Firecracker,Barbarian Barrel,Skeleton Barrel,Three Musketeers,Knight,Goblin Gang,Mini P.E.K.K.A,99YCUP8L
104,Goblin Barrel,Wall Breakers,Cannon Cart,Skeletons,Bandit,Hunter,Princess,The Log,VG0YCG9Y
105,Royal Giant,Ice Wizard,Mega Minion,Skeleton Army,Zap,Fireball,Prince,Tornado,2900CCR2
106,Giant Skeleton,Skeleton Army,Dark Prince,Wizard,Fireball,Arrows,Minion Horde,Royal Giant,YPU0GJUV
107,Knight,Giant Snowball,Baby Dragon,Bomb Tower,Barbarian Barrel,Poison,Ice Wizard,Graveyard,J08J0QQJ
108,Mega Knight,The Log,Skeleton Army,Electro Wizard,Inferno Tower,Princess,Valkyrie,Zap,2R0P2Y2
109,Skeleton Army,Hog Rider,Mini P.E.K.K.A,Arrows,Bandit,Valkyrie,Baby Dragon,Goblin Barrel,9QQVJJC8C
110,Ice Golem,Bomb Tower,Musketeer,Balloon,Giant Snowball,Miner,Skeletons,Barbarian Barrel,Y8PUL0R8
111,Ram Rider,Inferno Dragon,Magic Archer,Lumberjack,Bandit,Barbarian Barrel,Fireball,Ice Golem,2LPCG89Y8
112,Skeleton Army,Baby Dragon,Minions,Mini P.E.K.K.A,Goblin Barrel,Prince,Musketeer,Giant Skeleton,Y2Y8VC0P
113,Ice Wizard,Fire Spirits,Barbarians,Mini P.E.K.K.A,Bomber,Goblin Barrel,Baby Dragon,P.E.K.K.A,2GG90PRCY
114,Hog Rider,Minions,Lumberjack,Valkyrie,Bats,Zap,Mini P.E.K.K.A,Archers,20VQP0RCG
115,Mega Knight,Poison,Furnace,Barbarian Barrel,Dart Goblin,Goblin Hut,Flying Machine,Mini P.E.K.K.A,20VJRG8PG
116,Golem,Musketeer,Valkyrie,Wizard,Mega Minion,Fireball,Zap,The Log,PCGPLPCQ
